"pseudo_user","rides_count","avg_length","conversion_potential"
"15685","475","16.65","High"
"430","468","13.77","High"
"22005","466","15.12","High"
"KA1503000029","453","49.13","High"
"13420","452","26.43","High"
"13354","450","24.41","High"
"398","444","15.05","High"
"KA1503000040","440","17.41","High"
"KA1503000027","433","29.46","High"
"20247.0","432","13.40","High"
"438","430","12.24","High"
"13165","425","22.84","High"
"KA1504000101","422","18.31","High"
"444","419","18.38","High"
"KA1504000106","419","21.17","High"
"KA1503000069","415","27.65","High"
"15443","414","17.52","High"
"15585","413","18.61","High"
"314","410","12.29","High"
"411","409","14.16","High"
"KA1504000161","406","29.37","High"
"15446","406","22.15","High"
"KA1504000129","400","23.25","High"
"20104","400","18.21","High"
"KA1504000141","398","21.29","High"
"RP-007","391","15.16","High"
"527","388","31.35","High"
"598","386","19.61","High"
"KA1503000054","382","22.54","High"
"20255.0","381","12.23","High"
"021320","379","12.84","High"
"18016","379","19.21","High"
"343","379","9.92","Medium"
"KA1706005015","377","32.60","High"
"326","375","14.28","High"
"518","373","23.73","High"
"445","367","14.14","High"
"599","362","23.16","High"
"RP-001","362","27.82","High"
"RP-006","360","23.94","High"
"TA1308000007","358","27.12","High"
"13096","344","26.78","High"
"KA1504000164","343","27.68","High"
"RP-004","343","14.38","High"
"TA1309000053","343","25.54","High"
"15470","341","24.11","High"
"352","340","11.49","Medium"
"13213","331","27.83","High"
"475","324","13.19","High"
"TA1308000023","319","37.78","High"
"439","318","12.99","High"
"16991","316","18.69","High"
"15689","313","13.41","High"
"RP-002","310","19.26","High"
"514","308","17.62","High"
"KA1504000167","305","33.54","High"
"KA1503000046","297","31.22","High"
"TA1308000014","296","18.82","High"
"chargingstx0","294","10.86","Medium"
"KA1504000114","293","24.11","High"
"TA1309000003","281","17.35","High"
"662","278","21.91","High"
"20260.0","278","15.62","High"
"434","277","13.39","High"
"KA1504000155","275","23.11","High"
"KA1503000009","274","16.01","High"
"360","268","14.58","High"
"KA1503000030","267","41.04","High"
"442","261","15.28","High"
"866","257","17.33","High"
"590","257","27.74","High"
"KA1503000075","248","29.16","High"
"E014","243","28.28","High"
"15687","238","12.62","High"
"18022","234","28.43","High"
"TA1307000161","226","30.85","High"
"420","226","16.67","High"
"16994","225","24.77","High"
"20219","225","48.60","High"
"KA1503000033","224","21.85","High"
"15686","222","22.93","High"
"TA1307000066","220","29.10","High"
"KA1503000066","219","22.47","High"
"20204","218","24.56","High"
"20205","215","25.31","High"
"KA1504000109","215","20.14","High"
"20106","213","16.79","High"
"KA1504000091","211","12.29","High"
"16906","211","22.33","High"
"KA1503000073","208","19.45","High"
"573","206","12.85","High"
"KA1503000047","204","14.03","High"
"425","202","13.10","High"
"519","198","25.98","High"
"505","193","10.66","Medium"
"20232","191","64.63","High"
"356","190","12.49","High"
"16806","190","23.70","High"
"380","189","16.11","High"
"546","188","22.75","High"
"594","187","23.24","High"
"462","186","17.38","High"
"KA1504000113","185","18.21","High"
"E011","183","25.14","High"
"KA1503000032","183","24.82","High"
"316","180","15.10","High"
"346","179","8.32","Medium"
"20107","179","16.90","High"
"653B","178","25.69","High"
"358","177","14.58","High"
"KA1504000130","175","25.29","High"
"KA1503000018","172","33.07","High"
"KA1503000020","172","44.26","High"
"561","171","24.23","High"
"855","170","13.86","High"
"497","169","8.33","Medium"
"443","166","14.47","High"
"KA1503000024","165","21.69","High"
"KA1503000031","165","27.06","High"
"777","163","10.50","Medium"
"KA1503000023","161","39.71","High"
"KA1504000110","160","28.71","High"
"951","159","9.58","Medium"
"549","156","12.88","High"
"KA1503000025","155","19.16","High"
"359","154","12.76","High"
"353","153","16.55","High"
"KA1503000045","151","33.18","High"
"355","150","12.28","High"
"13083","147","33.92","High"
"507","147","13.06","High"
"334.0","146","8.52","Medium"
"379","140","15.09","High"
"20238","139","14.98","High"
"312","138","17.17","High"
"20213","138","29.62","High"
"16921","138","25.64","High"
"458","136","13.66","High"
"426","134","16.66","High"
"KA1503000049","134","37.78","High"
"KA1503000053","134","12.64","High"
"20203","134","30.45","High"
"322","131","18.11","High"
"20224","131","57.16","High"
"406","131","13.99","High"
"335.0","131","13.87","High"
"384","130","9.74","Medium"
"766","130","19.07","High"
"361","130","20.03","High"
"821","128","8.99","Medium"
"KA1503000013","128","16.54","High"
"415","128","11.19","Medium"
"KA1503000055","128","22.41","High"
"331.0","127","8.67","Medium"
"492","127","12.27","High"
"385","126","8.20","Medium"
"441","126","18.33","High"
"KA1504000102","125","26.88","High"
"KA1503000021","125","35.94","High"
"404","123","5.93","Medium"
"464","123","15.37","High"
"559","122","31.20","High"
"16903","122","15.07","High"
"585","121","29.29","High"
"20249.0","121","10.09","Medium"
"452","118","18.36","High"
"20123","118","41.66","High"
"387","118","12.01","Medium"
"313","117","14.75","High"
"579","117","21.55","High"
"15682","117","33.98","High"
"16933","116","23.23","High"
"400","115","17.40","High"
"372","114","13.76","High"
"KA1504000086","114","16.63","High"
"351","113","10.46","Medium"
"317","112","13.96","High"
"323","112","14.44","High"
"500","112","13.60","High"
"383","111","9.14","Medium"
"474","111","14.32","High"
"528","110","43.91","High"
"586","109","18.70","High"
"414","109","14.39","High"
"16905","108","15.58","High"
"650","108","21.28","High"
"KA1503000051","107","24.03","High"
"20103","107","28.12","High"
"321","106","12.83","High"
"460","105","14.45","High"
"15691","105","22.59","High"
"16932","105","23.54","High"
"16918","105","28.28","High"
"370","103","20.08","High"
"1121.0","102","11.81","Medium"
"540","102","32.76","High"
"318","102","15.24","High"
"395","101","15.36","High"
"20241","100","21.19","High"
"319","100","9.15","Medium"
"PI00002","100","23.11","High"
"365.0","100","13.86","High"
"20108","99","19.44","High"
"KA1503000019","99","30.31","High"
"23108","98","11.06","Medium"
"396","98","17.36","High"
"16940","96","29.24","High"
"347","94","9.55","Medium"
"402","94","14.46","High"
"390","93","18.06","High"
"16937","93","32.26","High"
"338","92","17.08","High"
"357","91","12.23","High"
"646","91","26.85","High"
"513","90","12.05","Medium"
"15449","90","36.22","High"
"569","89","39.62","High"
"16943","89","22.87","High"
"20114","88","36.89","High"
"378","87","13.28","High"
"325","87","18.32","High"
"473","87","13.37","High"
"20202","87","16.30","High"
"516","87","11.69","Medium"
"1182.0","86","11.93","Medium"
"595","86","25.75","High"
"767","85","16.07","High"
"499","84","9.47","Medium"
"465","83","7.59","Medium"
"506","83","11.03","Medium"
"337","83","14.51","High"
"504","83","11.69","Medium"
"374","82","16.27","High"
"20214","82","35.45","High"
"20113","82","23.85","High"
"381","81","20.34","High"
"1052","81","13.35","High"
"339","81","11.43","Medium"
"424","80","12.06","Medium"
"422","80","18.25","High"
"344","80","13.02","High"
"20207","80","33.26","High"
"576","80","35.91","High"
"1072","79","14.13","High"
"768","79","14.20","High"
"16916","79","30.43","High"
"20120","79","43.92","High"
"20133","79","11.55","Medium"
"510","79","14.40","High"
"341","78","12.22","High"
"397","78","13.64","High"
"407","78","17.50","High"
"392","78","11.49","Medium"
"530","78","14.42","High"
"20235","76","24.38","High"
"369","75","20.15","High"
"16907","75","27.89","High"
"651","74","20.58","High"
"536","73","21.21","High"
"KA1504000082","73","47.07","High"
"494","73","11.95","Medium"
"23101","73","27.39","High"
"324","72","12.48","High"
"580","72","41.60","High"
"386","72","10.68","Medium"
"303","72","25.53","High"
"501","72","12.56","High"
"20131","71","22.76","High"
"534","71","40.49","High"
"560","70","17.48","High"
"535","70","20.07","High"
"20233","70","31.63","High"
"693","70","11.00","Medium"
"16915","70","30.27","High"
"512","70","13.96","High"
"309","70","15.16","High"
"20228","69","71.61","High"
"20215","69","11.12","Medium"
"20221","68","33.91","High"
"320","68","15.05","High"
"20115","68","17.40","High"
"KA1504000168","68","29.58","High"
"16920","68","39.93","High"
"570","67","21.01","High"
"TA1309000051","66","31.20","High"
"930","66","18.03","High"
"20109","65","43.50","High"
"1226.0","65","15.87","High"
"584","65","33.74","High"
"345","65","13.64","High"
"20222","65","45.11","High"
"649","65","51.04","High"
"KA1503000028","65","71.50","High"
"327","64","25.30","High"
"20229","64","40.01","High"
"389","64","14.83","High"
"302","63","21.44","High"
"20121","63","24.31","High"
"621","62","14.18","High"
"537","62","21.31","High"
"371","62","18.36","High"
"20112","62","16.56","High"
"20223","62","24.39","High"
"401","61","11.22","Medium"
"15692","61","45.47","High"
"KA1503000003","61","38.10","High"
"571","61","15.91","High"
"377","61","18.65","High"
"350","60","14.68","High"
"16912","60","14.71","High"
"307","60","16.90","High"
"388","59","14.95","High"
"557","58","21.27","High"
"20201","58","13.97","High"
"647","58","9.08","Medium"
"1070","58","11.06","Medium"
"565","58","7.50","Medium"
"16913","57","29.29","High"
"554","57","29.83","High"
"362.0","56","23.37","High"
"KA1503000001","56","17.85","High"
"543","55","35.61","High"
"642","55","28.44","High"
"340","55","15.68","High"
"20206","55","30.13","High"
"333.0","55","15.17","High"
"308","54","17.80","High"
"310","54","20.25","High"
"336","54","18.95","High"
"20217","53","12.04","Medium"
"20242","53","41.18","High"
"15597","53","18.25","High"
"20116","53","24.94","High"
"421","52","21.02","High"
"393","52","19.20","High"
"1085.0","52","17.06","High"
"906","51","13.71","High"
"16948","51","24.46","High"
"403","51","11.14","Medium"
"20230","51","23.41","High"
"20134","51","17.68","High"
"20218","50","21.27","High"
"562","50","28.77","High"
"20212","50","185.80","High"
"577","50","29.81","High"
"329.0","49","18.39","High"
"583","49","34.20","High"
"20234","48","47.11","High"
"479","48","16.73","High"
"20244","47","43.93","High"
"301","47","16.06","High"
