"station_id","station_name","lat","lng","start_count","start_count_member","start_count_casual"
"13160","May St & Taylor St","41.8694812222187928","-87.6554853117641661","13387","11182","2205"
"TA1305000020","Ogden Ave & Chicago Ave","41.8963622193273940","-87.6540647217155962","13200","8897","4303"
"13085","Kedzie Ave & Milwaukee Ave","41.9295727835517624","-87.7078814396951526","13011","7541","5470"
"13427","Cityfront Plaza Dr & Pioneer Ct","41.8905444173983445","-87.6220723269047322","12841","7154","5687"
"TA1305000034","Honore St & Division St","41.9031187510709047","-87.6739057509334149","12752","8518","4234"
"LP-","Lincoln Park Conservatory","41.9239553045571501","-87.6358401371304282","12711","5601","7110"
"13243","Milwaukee Ave & Wabansia Ave","41.9126166962885106","-87.6813955398517488","12709","8616","4093"
"13028","900 W Harrison St","41.8747576551738861","-87.6498127347092920","12701","9473","3228"
"TA1307000131","Wabash Ave & Wacker Pl","41.8868674049178719","-87.6260558852393666","12654","6809","5845"
"13217","Calumet Ave & 33rd St","41.8348971522526034","-87.6179307735776408","12648","11753","895"
"TA1306000015","Sangamon St & Lake St","41.8858017856651213","-87.6510378772002900","12387","8719","3668"
"KA1504000146","Clark St & Berwyn Ave","41.9780144681136420","-87.6684280635710443","12300","8055","4245"
"13058","Dayton St & North Ave","41.9105834324177355","-87.6494236414927178","12283","8184","4099"
"TA1309000002","Michigan Ave & Jackson Blvd","41.8780906743903236","-87.6241242016474424","12262","5475","6787"
"13229","Southport Ave & Belmont Ave","41.9394594083838801","-87.6637586572531257","12257","8163","4094"
"TA1307000124","Michigan Ave & 14th St","41.8640942573959725","-87.6237321943771643","12142","8137","4005"
"15534","Field Blvd & South Water St","41.8863197612763205","-87.6175115634188261","12130","6960","5170"
"15576","Lakefront Trail & Bryn Mawr Ave","41.9840288273341764","-87.6522886914888440","12111","6597","5514"
"13128","Clark St & North Ave","41.9119699239742834","-87.6319605361741259","12074","6939","5135"
"TA1306000011","Wells St & Walton St","41.8999358430798631","-87.6344348009973165","11931","8222","3709"
"13084","California Ave & Milwaukee Ave","41.9226899063695115","-87.6971476003912989","11905","6924","4981"
"13074","Broadway & Wilson Ave","41.9652102526871632","-87.6581921067724221","11778","7792","3986"
"TA1307000113","Southport Ave & Wrightwood Ave","41.9287770133570933","-87.6638996006424124","11774","7548","4226"
"TA1307000001","Greenview Ave & Fullerton Ave","41.9253478669180589","-87.6658078143162194","11716","7658","4058"
"KP1705001026","LaSalle Dr & Huron St","41.8948544237879063","-87.6323344750538592","11628","7491","4137"
"13196","Carpenter St & Huron St","41.8945557435976994","-87.6534522060263884","11504","7923","3581"
"13389","Clarendon Ave & Junior Ter","41.9609925540920976","-87.6495822193061183","11469","7570","3899"
"KA1504000079","Larrabee St & Division St","41.9034926992171313","-87.6433492277463014","11436","8006","3430"
"13133","Damen Ave & Cortland St","41.9159820651575395","-87.6773240979701309","11317","6923","4394"
"KA1504000134","Ritchie Ct & Banks St","41.9068574067025933","-87.6262101594709258","11311","7085","4226"
"TA1309000027","Sheridan Rd & Buena Ave","41.9584829638081729","-87.6549852270969963","11193","7941","3252"
"13303","Clark St & Chicago Ave","41.8967337897447036","-87.6308859690143075","11120","7376","3744"
"18062","Aberdeen St & Randolph St","41.8841224845586637","-87.6542694016396680","11083","7659","3424"
"TA1308000029","Stetson Ave & South Water St","41.8867895157104289","-87.6223064054530574","11034","7288","3746"
"TA1309000001","Halsted St & Maxwell St","41.8648814606163083","-87.6470712148461300","10827","7711","3116"
"TA1307000163","Clifton Ave & Armitage Ave","41.9182143492723864","-87.6569575533511890","10713","7221","3492"
"TA1308000009","Shore Dr & 55th St","41.7952214045298189","-87.5807496597343155","10706","6054","4652"
"TA1307000164","Woodlawn Ave & 55th St","41.7952779163023331","-87.5964754429665366","10687","7193","3494"
"TA1307000166","Halsted St & Willow St","41.9138556021012702","-87.6487668193146256","10687","7511","3176"
"13029","Field Museum","41.8653200685892448","-87.6179047809261815","10598","2240","8358"
"15535","Desplaines St & Randolph St","41.8842442639748154","-87.6444370325696441","10585","7233","3352"
"SL-010","Financial Pl & Ida B Wells Dr","41.8750264529403909","-87.6331047208412993","10545","7805","2740"
"KA1503000072","Wacker Dr & Washington St","41.8831586490196081","-87.6372755051973586","10499","7973","2526"
"SL-011","Wells St & Polk St","41.8727491303566975","-87.6335970900354729","10430","7072","3358"
"TA1309000008","Franklin St & Adams St (Temp)","41.8793586249918077","-87.6355136234549792","10265","7294","2971"
"13068","Western Ave & Winnebago Ave","41.9155315707434735","-87.6870192629468189","10252","6578","3674"
"TA1309000014","Clark St & Leland Ave","41.9670809777219503","-87.6673358780563327","10243","6785","3458"
"KA1503000044","Rush St & Hubbard St","41.8901825177546608","-87.6262072468340170","10240","6877","3363"
"13036","Michigan Ave & Madison St","41.8821010543036158","-87.6251353269450203","10143","5764","4379"
"13132","Damen Ave & Chicago Ave","41.8957315822691851","-87.6771864771666197","10096","6996","3100"
"13156","Aberdeen St & Monroe St","41.8804223393857169","-87.6555346300211618","10089","7237","2852"
"13034","Michigan Ave & Pearson St","41.8975973636570345","-87.6235264866176669","10070","5393","4677"
"KA1503000015","Wabash Ave & Adams St","41.8794780024073238","-87.6257113876518754","10046","6548","3498"
"TA1306000032","Sheffield Ave & Willow St","41.9137029264581632","-87.6528542365361061","9887","6889","2998"
"TA1305000039","Elston Ave & Cortland St","41.9164376628549347","-87.6667537766910091","9867","6494","3373"
"WL-011","Jefferson St & Monroe St","41.8803442379974778","-87.6427504379411179","9815","7155","2660"
"TA1305000035","State St & Van Buren St","41.8771773715335921","-87.6278659600955616","9786","6343","3443"
"TA1309000064","Wolcott Ave & Polk St","41.8712764170372698","-87.6736897920336311","9701","8343","1358"
"15545","Burnham Harbor","41.8574250920342960","-87.6137981456253515","9588","5478","4110"
